Blob1,Blob2,Area1,Area2
17,5,52.998287641199994,396.27184485239997
32,39,137.216996928,3.1993600319999995
44,12,58.69492592039999,820.6980579863999
54,33,60.103533045599995,807.1940925179999
57,56,21.862293552,16.729986833999998
68,72,34.357571899199996,2.4795040247999993
85,49,70.55477581679999,1910.9155373351998
89,73,66.2356397736,278.0954836704
96,86,20.2715006472,1150.8320212884
112,86,32.3446412124,1150.8320212884
137,113,59.70805659719999,1193.7078892728
159,113,82.27687548959999,1193.7078892728
172,162,62.17422995519999,2199.9554984484
190,162,32.9400776628,2199.9554984484
213,162,169.7793723648,2199.9554984484
216,195;209,210.92669722079998,669.4394253623999
242,156,177.6266915544,1927.2811526099997
259,162,23.333110455599993,2199.9554984484
348,286,57.68179524359999,141.6116734164
382,348,491.93270980920005,8532.4888017864
419,376,76.45137409799999,3.2837875884
437,348,88.64004710879999,8532.4888017864
438,330,58.494965918400005,2964.7669576535995
449,392,106.80530240159999,783.6521349492
450,348,267.0221431152,8532.4888017864
451,334,118.88733007799998,3794.6542886208
460,348,90.36859023719998,8532.4888017864
463,330,137.06591603759998,2964.7669576535995
468,365,79.228596348,2186.0160645312
470,403,35.450686576799995,3.4570862567999994
490,365,55.24228321919999,2186.0160645312
500,434,29.927346965999995,35.7572919132
519,450,268.95508980119996,6.758648067599999
605,534,57.232996127999996,357.6795644664
617,551,20.6047673172,182.60791738199998
623,559,22.7465611164,79.80625857599999
669,522,62.0231490648,3452.6427011999995
702,522,125.78372836919998,3452.6427011999995
710,646,67.77311001119999,24.6084109128
