Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
595,-1,1,0.0,80.12175102359998,Pocillopora,born,none
363,-1,17,0.0,192.42373170239998,Pocillopora,born,none
47,-1,33,0.0,95.7408489576,Pocillopora,born,none
363,-1,45,0.0,103.83256370519999,Pocillopora,born,none
653,-1,127,0.0,24.8794678044,Pocillopora,born,none
133,-1,171,0.0,228.7053631764,Pocillopora,born,none
203,-1,226,0.0,68.8751118,Pocillopora,born,none
688,-1,277,0.0,88.3245546612,Pocillopora,born,none
340,-1,446,0.0,225.1371880296,Pocillopora,born,none
435,-1,576,0.0,265.71129421319995,Pocillopora,born,none
436,-1,578,0.0,195.33870417599996,Pocillopora,born,none
29,-1,807,0.0,495.66529651319996,Pocillopora,born,none
600,-1,808,0.0,175.4671235328,Pocillopora,born,none
594,-1,809,0.0,146.96171435879998,Pocillopora,born,none
10,-1,810,0.0,41.169542634,Empty,born,none
813,-1,811,0.0,87.55581954239999,Pocillopora,born,none
61,-1,812,0.0,158.86599981119997,Pocillopora,born,none
214,-1,813,0.0,53.695925870399996,Empty,born,none
274,-1,814,0.0,46.1285506836,Empty,born,none
416,-1,815,0.0,27.2478829392,Empty,born,none
461,-1,816,0.0,88.7689102212,Empty,born,none
505,-1,817,0.0,156.23541489599998,Empty,born,none
570,-1,818,0.0,89.404338672,Empty,born,none
5,5,-1,509.86690021079994,0.0,Pocillopora_dead,dead,none
0,40,-1,222.7509986724,0.0,Pocillopora_dead,dead,none
133,136,-1,176.77352887919997,0.0,Pocillopora,dead,none
186,178,-1,121.67788299479999,0.0,Pocillopora_dead,dead,none
184,197,-1,71.7234309396,0.0,Pocillopora,dead,none
555,667,-1,129.8940172992,0.0,Pocillopora_dead,dead,none
624,725,-1,100.47767922719999,0.0,Empty,dead,none
940,726,-1,6.496478287199999,0.0,Empty,dead,none
648,727,-1,24.4040073552,0.0,Empty,dead,none
941,728,-1,9.540313873199999,0.0,Empty,dead,none
133,729,-1,82.1080203768,0.0,Pocillopora,dead,none
182,730,-1,100.7531796744,0.0,Pocillopora_dead,dead,none
942,731,-1,23.137594009199997,0.0,Pocillopora_dead,dead,none
943,732,-1,58.223909026799994,0.0,Pocillopora,dead,none
944,733,-1,47.59936758719999,0.0,Pocillopora_dead,dead,none
945,734,-1,19.507209084,0.0,Empty,dead,none
946,735,-1,35.1885167964,0.0,Empty,dead,none
